course_code,course_title,Semester,Term,Program,Pre-Req,Elective,college,
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring-2021,BS(J)A&F,COM107,,CBM,
LAW409,Business Law,Three,Fall-2021,BS(J)A&F,,,CBM,
MIS303,IS Audit & Management ,Three,Fall-2021,BS(J)A&F,,,CBM,
ACC201,Intermediate Financial Accounting,Three,Fall-2021,BS(J)A&F,,,CBM,
STA203,Probability Theory & Statistics,Three,Fall-2021,BS(J)A&F,,,CBM,
ECO208,Financial Economics,Three,Fall-2021,BS(J)A&F,,,CBM,
COM202,Business & Professional Speech ,Three,Fall-2021,BS(J)A&F,COM205,,CBM,
MAN302,Organizational Behavior,Four,Spring-2022,BS(J)A&F,,,CBM,
FIN201,Introduction to Business Finance,Four,Spring-2022,BS(J)A&F,,,CBM,
ACC350,Cost & Management Accounting,Four,Spring-2022,BS(J)A&F,,,CBM,
STA301,Model & Inferences,Four,Spring-2022,BS(J)A&F,,,CBM,
ECO301,Managerial Economics,Four,Spring-2022,BS(J)A&F,,,CBM,
LAN 10*,Foreign Language I,Four,Spring-2022,BS(J)A&F,,,CBM,
MKT302,Marketing Management,Five,Fall-2022,BS(J)A&F,,,CBM,
HRM301,Human Resource Management,Five,Fall-2022,BS(J)A&F,,,CBM,
FIN511,Analysis of Financial Statements,Five,Fall-2022,BS(J)A&F,,,CBM,
FIN202,Financial Management,Five,Fall-2022,BS(J)A&F,,,CBM,
LAN 20**,Foreign Language II,Five,Fall-2022,BS(J)A&F,,,CBM,
STA302,Methods of Data Analysis,Five,Fall-2022,BS(J)A&F,,,CBM,
FIN301,Financial Institutions,Six,Spring-2023,BS(J)A&F,,,CBM,
MKT404,Methods in Business Research,Six,Spring-2023,BS(J)A&F,,,CBM,
FIN613,Financial Modeling,Six,Spring-2023,BS(J)A&F,,,CBM,
FIN503,Corporate Finance,Six,Spring-2023,BS(J)A&F,,,CBM,
ACC503,Taxation,Six,Spring-2023,BS(J)A&F,,,CBM,
LAW402,Corporate Law,Six,Spring-2023,BS(J)A&F,,,CBM,
ECO402,Pakistan & Economic Policy,Seven,Fall-2023,BS(J)A&F,,,CBM,
ENT403,Small Business and Entrepreneurship,Seven,Fall-2023,BS(J)A&F,,,CBM,
,Accounting Elective I,Seven,Fall-2023,BS(J)A&F,,,CBM,
,Finance Elective I,Seven,Fall-2023,BS(J)A&F,,,CBM,
,Accounting Elective II,Seven,Fall-2023,BS(J)A&F,,,CBM,
,Finance Elective II,Seven,Fall-2023,BS(J)A&F,,,CBM,
,Accounting Elective III,Eight,Spring-2024,BS(J)A&F,,,CBM,
,Finance Elective III,Eight,Spring-2024,BS(J)A&F,,,CBM,
,Accounting Elective IV,Eight,Spring-2024,BS(J)A&F,,,CBM,
,Finance Elective IV,Eight,Spring-2024,BS(J)A&F,,,CBM,
,Accounting Elective V,Eight,Spring-2024,BS(J)A&F,,,CBM,
,Finance Elective V,Eight,Spring-2024,BS(J)A&F,,,CBM,
ENI106,Startup Garage I: Business Model and Business Research Methods,one,Fall-2020,BS ENTRP,,,CBM,
ENI101,Business Idea Generation,one,Fall-2020,BS ENTRP,,,CBM,
ENI102,Quantitative Analysis for Small Business,one,Fall-2020,BS ENTRP,,,CBM,
ENI103,"Systems, disruptive and Exponential Thinking",one,Fall-2020,BS ENTRP,,,CBM,
ENI104,Islamic Conception of Business & Entrepreneurship,one,Fall-2020,BS ENTRP,,,CBM,
ENI105,Startup Centered Design Thinking,one,Fall-2020,BS ENTRP,,,CBM,
ENN112,Startup Garage II: Affordable Startup Design,Two,Spring-2021,BS ENTRP,,,CBM,
ENN107,Low Cost Startup Marketing,Two,Spring-2021,BS ENTRP,,,CBM,
ENN108,Effective Communication: Survey of Investors,Two,Spring-2021,BS ENTRP,,,CBM,
ENN109,Psychology and Behavior of Entrepreneurship,Two,Spring-2021,BS ENTRP,,,CBM,
ENN110,History and Survey of Pakistani Business & Entrepreneurship,Two,Spring-2021,BS ENTRP,,,CBM,
ENN111,Design Methods for Startups,Two,Spring-2021,BS ENTRP,,,CBM,
ENX206,Startup Garage III: Testing Business Model,Three,Fall-2021,BS ENTRP,,,CBM,
ENX201,Business Idea Prototyping,Three,Fall-2021,BS ENTRP,,,CBM,
ENX202,New Venture Finance,Three,Fall-2021,BS ENTRP,,,CBM,
ENX203,Effectuation Method,Three,Fall-2021,BS ENTRP,,,CBM,
ENX204,Small Business Economics,Three,Fall-2021,BS ENTRP,,,CBM,
ENX205,Agile Processes for Startups,Three,Fall-2021,BS ENTRP,,,CBM,
ENX212,Lean LaunchPad I: Startup Launch,Four,Spring-2022,BS ENTRP,,,CBM,
ENX207,Adaptive Marketing for Startups,Four,Spring-2022,BS ENTRP,,,CBM,
ENX208,Lean Accounting and Finance,Four,Spring-2022,BS ENTRP,,,CBM,
ENX209,Entrepreneurial Team Development,Four,Spring-2022,BS ENTRP,,,CBM,
ENX210,Gig Economy and Strategy,Four,Spring-2022,BS ENTRP,,,CBM,
ENX211,Digital Development for Startups,Four,Spring-2022,BS ENTRP,,,CBM,
ENB306,Lean Launchpad II: Startup Risk Mitigation,Five,Fall-2022,BS ENTRP,,,CBM,
ENB301,Customer Acquisition for Startups,Five,Fall-2022,BS ENTRP,,,CBM,
ENB302,Break Even Analysis,Five,Fall-2022,BS ENTRP,,,CBM,
ENB303,Entrepreneurial Team Management,Five,Fall-2022,BS ENTRP,,,CBM,
ENB304,Sustainable Family Business,Five,Fall-2022,BS ENTRP,,,CBM,
ENB305,Process Optimization for Startups,Five,Fall-2022,BS ENTRP,,,CBM,
ENB312,Lean Launchpad III: Startup Expansion,Six,Spring-2023,BS ENTRP,,,CBM,
ENB307,Growth Hacking Strategies for startups,Six,Spring-2023,BS ENTRP,,,CBM,
ENB308,Legal Business Structures for startups,Six,Spring-2023,BS ENTRP,,,CBM,
ENB309,Microenterprise Value Chain Management,Six,Spring-2023,BS ENTRP,,,CBM,
ENB310,Family Business Growth Strategies,Six,Spring-2023,BS ENTRP,,,CBM,
ENB311,Lean Analytics for Startups,Six,Spring-2023,BS ENTRP,,,CBM,
ENF406,Capstone I: Pitch and Win Investors,Seven,Fall-2023,BS ENTRP,,,CBM,
ENF401,Investment Strategies for Startups,Seven,Fall-2023,BS ENTRP,,,CBM,
ENF402,Co-development and Growth Partnerships,Seven,Fall-2023,BS ENTRP,,,CBM,
ENF403,Bargaining and Negotiation Skills,Seven,Fall-2023,BS ENTRP,,,CBM,
ENF404,Language I,Seven,Fall-2023,BS ENTRP,,,CBM,
ENF405,Information Technology Investment,Seven,Fall-2023,BS ENTRP,,,CBM,
ENF411,Capstone II: Going Global,Eight,Spring-2024,BS ENTRP,,,CBM,
ENF407,Advanced Entrepreneurial Strategies,Eight,Spring-2024,BS ENTRP,,,CBM,
ENF408,International Valuation and Auditing standards for Startups,Eight,Spring-2024,BS ENTRP,,,CBM,
ENF409,Startup Acceleration and Co-Creation,Eight,Spring-2024,BS ENTRP,,,CBM,
ENF410,Future of Global Entrepreneurship,Eight,Spring-2024,BS ENTRP,,,CBM,
ENF412,Language II,Eight,Spring-2024,BS ENTRP,,,CBM,
SED101,Research Methodology for Social Projects,one,Fall-2020,BS ENTRP & SL,,,CBM,
SEC101,Quantitative Analysis for Social Data,one,Fall-2020,BS ENTRP & SL,,,CBM,
SAC401,Entrepreneurial Marketing,one,Fall-2020,BS ENTRP & SL,,,CBM,
CMS101,History of Social Advocacy: Pakistan and Subcontinent,one,Fall-2020,BS ENTRP & SL,,,CBM,
SEM202,Principles of Accounting,one,Fall-2020,BS ENTRP & SL,,,CBM,
SEM103,Ethical Leadership: Islamic Perspective,one,Fall-2020,BS ENTRP & SL,,,CBM,
SED401,Principles of Management and Organizational Dynamics,Two,Spring-2021,BS ENTRP & SL,,,CBM,
SEC401,Fundamental Economics,Two,Spring-2021,BS ENTRP & SL,,,CBM,
SAC101,Visual storytelling: Photography and Documentary in Advocacy,Two,Spring-2021,BS ENTRP & SL,,,CBM,
CMS401,Fundamentals of Business Communication,Two,Spring-2021,BS ENTRP & SL,,,CBM,
SEM401,Entrepreneurial Finance,Two,Spring-2021,BS ENTRP & SL,,,CBM,
SEM104,Leadership,Two,Spring-2021,BS ENTRP & SL,,,CBM,
SED102,Philosophy of Education and its Psychological Roots,Three,Fall-2021,BS ENTRP & SL,,,CBM,
SEC102,"Social, Political & Economic Dynamics of Education in History",Three,Fall-2021,BS ENTRP & SL,,,CBM,
SAC102,Computer Arts and Graphics Designing,Three,Fall-2021,BS ENTRP & SL,,,CBM,
CMS102,"Creativity, Novelty and Beauty Via Education",Three,Fall-2021,BS ENTRP & SL,,,CBM,
SEM101,Results Based Project Management,Three,Fall-2021,BS ENTRP & SL,,,CBM,
SEM102,Social Enterprise in Education: HRM,Three,Fall-2021,BS ENTRP & SL,,,CBM,
SED201,Philosophy and Psychology of Human Nature and Wellbeing,Four,Spring-2022,BS ENTRP & SL,,,CBM,
SEC201,Historical Foundations of Health Care Institutions,Four,Spring-2022,BS ENTRP & SL,,,CBM,
SAC201,Recitations/Readings Related to Health and Well Being,Four,Spring-2022,BS ENTRP & SL,,,CBM,
CMS201,Health Issues Across Cultures and Ideologies/Language I,Four,Spring-2022,BS ENTRP & SL,,,CBM,
SEM201,Study of Social Enterp. in Health Care: Operations & Processes,Four,Spring-2022,BS ENTRP & SL,,,CBM,
SEM203,Role models in Health Care,Four,Spring-2022,BS ENTRP & SL,,,CBM,
SED202,Philosophy of Development and Psychology of Poverty,Five,Fall-2022,BS ENTRP & SL,,,CBM,
SEC202,"Socioeconomic, Political Institutions & History of Development",Five,Fall-2022,BS ENTRP & SL,,,CBM,
SAC202,Poverty/Development Advocacy through Performing Arts,Five,Fall-2022,BS ENTRP & SL,,,CBM,
